domain,has_api,has_mcp,mcp_auth_type,mcp_sdk,mcp_transport,tools_count,tools_list,security_issues,outreach_priority,outreach_reason
stripe.com,true,true,oauth,unknown,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
cloudflare.com,true,true,oauth,CF Workers,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
hubspot.com,true,true,unknown,unknown,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
twilio.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
sendgrid.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
intercom.com,false,true,oauth,CF Workers,unknown,,,NO_RATE_LIMIT,low,MCP-first company — already building
zendesk.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
freshdesk.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
notion.com,true,true,oauth,CF Workers,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
airtable.com,true,true,unknown,unknown,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
linear.app,true,true,oauth,CF Workers,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
figma.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
vercel.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
netlify.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
supabase.com,true,true,oauth,unknown,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
planetscale.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
datadog.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
sentry.io,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
pagerduty.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
gitlab.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
bitbucket.org,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
jira.atlassian.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
asana.com,true,true,oauth,CF Workers,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
monday.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
clickup.com,true,true,oauth,unknown,unknown,,,WIDE_OPEN_CORS,medium,"Has MCP but only  tools — early stage, needs better builder"
calendly.com,true,true,oauth,FastMCP,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
typeform.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
mailchimp.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
brevo.com,true,true,unknown,unknown,unknown,,,NO_RATE_LIMIT,medium,"Has MCP but only  tools — early stage, needs better builder"
postmark.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
plaid.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
square.com,false,false,unknown,unknown,unknown,,,"",medium,No API or MCP — could use Drio as first AI integration
shopify.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
woocommerce.com,true,false,unknown,unknown,unknown,,,"",high,Has API but no MCP — ready for MCP adoption
